False;text;is_retweet;original_author;time;in_reply_to_screen_name;is_quote_status;retweet_count;favorite_count;source_url;truncated;hasHashtag;TweetID
False;When @realDonaldTrump is POTUS, families are going to be safe and secure. Law and order will be RESTORED! #MAGA… https://t.co/4Qo9gV7mgc;True;TeamTrump;20160927015001;;False;4550;11239;http://twitter.com;False;True;103
False;WATCH: @realDonaldTrump on the stakes in this election #Debates2016 https://t.co/l7DSbPXDGh;True;TeamTrump;20160927014401;;False;1936;5930;http://twitter.com;False;True;104
True;"""It's about time this country had somebody running it who has an idea about money."" —Trump #debatenight https://t.co/dpDrKCHVCd";False;;20160927014050;;False;2469;5868;https://about.twitter.com/products/tweetdeck;False;True;105
True;"Paying zero in taxes doesn’t make you ""smart.""

It makes you a tax evader. https://t.co/g9nQkSRvTB";False;;20160927013914;;False;20195;33668;https://about.twitter.com/products/tweetdeck;False;False;106
True;No wonder Donald Trump is hiding his tax returns. #debatenight https://t.co/gcvsadMwHJ;False;;20160927013726;;False;8568;15157;https://about.twitter.com/products/tweetdeck;False;True;107
False;This is the simple fact about @HillaryClinton: she is a typical politician - all talk, no action. #Debates2016;False;;20160927013650;;False;13308;32127;http://twitter.com;False;True;108
True;No legit reason @realDonaldTrump can't release returns while being audited, but if scared, release earlier returns no longer under audit.;True;MittRomney;20160927013432;;False;11973;15567;https://about.twitter.com/products/tweetdeck;False;False;109
False;HILLARY'S BAD TAX HABIT! https://t.co/x3FBy8Hdq2;False;;20160927013359;;False;11774;21663;http://twitter.com/download/iphone;False;False;110
False;A Clinton economy = more taxes and more spending! #DebateNight https://t.co/oFlaAhrwe5;False;;20160927013225;;False;7878;16568;http://twitter.com/download/iphone;False;True;111
False;.@HillaryClinton has been part of the rigged DC system for 30 years? Why would we take policy advice from her? #Debates2016;False;;20160927012850;;False;9707;22634;http://twitter.com;False;True;112
True;In the spirit of friendship, here's Donald Trump's ISIS plan for your consideration. #debate https://t.co/YCXFWZyiGA;True;TheBriefing2016;20160927012803;;False;4128;5914;https://about.twitter.com/products/tweetdeck;False;True;113
True;Donald Trump may live in his own reality—but we've got his own words right here. Check them out: https://t.co/NLPH8sbAGn #debatenight;False;;20160927012713;;False;5904;8292;https://about.twitter.com/products/tweetdeck;False;True;114
False;.@HillaryClinton channels John Kerry on trade: she was for bad trade deals before she was against them. #TPP #Debates2016;False;;20160927012343;;False;5045;13196;http://twitter.com;False;True;115
True;"""I never said that."" —Donald Trump, who said that. #debatenight https://t.co/6T8qV2HCbL";False;;20160927011947;;True;91670;134808;https://about.twitter.com/products/tweetdeck;False;True;116
True;"""That's called business."" —Donald Trump on the housing crash.

For millions of Americans it was called ""losing their home."" #DebateNight";False;;20160927011902;;False;12980;20267;https://about.twitter.com/products/tweetdeck;False;True;117
False;.@HillaryClinton and Obama policies increased debt by $9trillion over the last 8 years;False;;20160927011855;;False;7836;17385;http://twitter.com;False;False;118
True;"Economists project that Trump’s plans would add more than $5,000,000,000,000 to the national debt. That's ""trillion"" with a ""T.""";False;;20160927011744;;False;3322;6308;https://about.twitter.com/products/tweetdeck;False;False;119
True;"Donald Trump seems to think $15 million is a ""small loan."" #debate https://t.co/Bo3HOhdR92 https://t.co/K5bCPX3ujx";True;TheBriefing2016;20160927011615;;False;1738;2478;https://about.twitter.com/products/tweetdeck;False;True;120
True;Every time Trump makes a show of railing against outsourcing, remember the countries he shipped jobs and profits to: https://t.co/5MZTsOgYR9;False;;20160927011520;;False;3721;5734;https://about.twitter.com/products/tweetdeck;False;False;121
